DO,latitude,longitude,raims_blancs,raims_negres,extra,country
Calatayud,41.3543224,-1.6470086,"Macabeo, Garnacha Blanca, Chardonnay","Garnacha, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Campo de Borja,41.834824,-1.533754,"Macabeo, Garnacha Blanca, Chardonnay","Garnacha, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Cariñena,41.3370805,-1.2241497,"Macabeo, Garnacha Blanca, Chardonnay","Garnacha, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Catalonia,41.4,2.1,"Xarel·lo, Macabeo, Parellada, Chardonnay, Sauvignon Blanc","Garnacha, Cariñena, Monastrell, Tempranillo, Sumoll",,Spain
Cava,42.3252871,1.6055202,"Xarel·lo, Macabeo, Parellada, Chardonnay, Subirat Parent (Malvasia)","Garnacha, Monastrell, Pinot Noir",,Spain
Chacolí de Álava,43.047817,-2.621613,Hondarrabi Zuri,,,Spain
Chacolí de Getaria,,,Hondarrabi Zuri,,,Spain
Chacolí de Vizcaya,43.262985,-2.935013,Hondarrabi Zuri,,,Spain
Cigales,41.7582,-4.69958,"Verdejo, Viura","Tempranillo, Garnacha",,Spain
Conca de Barberá,41.3667,1.15,"Macabeo, Parellada, Chardonnay","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah",,Spain
Condado de Huelva,37.25,-6.95,"Zalema, Palomino",,,Spain
Costers del Segre,41.5991,0.5812,"Macabeo, Parellada, Chardonnay, Sauvignon Blanc","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah",,Spain
El Hierro,27.75,-18.0,Verijadiego Blanco,,,Spain
Empordá,42.2758,3.0691,"Garnacha Blanca, Macabeo, Chardonnay","Garnacha, Cariñena, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Gran Canaria,27.9582,-15.5965,Albillo,,,Spain
Jerez-Xérés-Sherry,36.681667,-6.137778,"Palomino, Pedro Ximénez, Moscatell",,,Spain
Jumilla,38.47917,-1.325,"Macabeo, Airén, Merseguera","Monastrell, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
La Gomera,28.116667,-17.216667,Forastera Blanca,,,Spain
La Mancha,39.40111,-3.015,"Airén, Macabeo, Chardonnay, Sauvignon Blanc, Verdejo","Tempranillo, Cabernet Sauvignon, Petit Verdot, Garnacha, Alicante Bouschet, Monastrell, Syrah, Bobal",,Spain
La Palma,28.6667,-17.8667,Albillo,,,Spain
Lanzarote,29.035,-13.633,Malvasia Volcánica,,,Spain
Malaga,36.72016,-4.42034,"Moscatell de Alejandría, Pedro Ximénez, Chardonnay, Macabeo, Colombard, Sauvignon Blanc, Lairen, Doradilla, Gewürztraminer, Riesling, Verdejo, Viognier, Romé","Cabernet Sauvignon, Merlot, Syrah, Tempranillo, Garnacha, Cabernet Franc, Pinot Noir, Petit Verdot, Graciano, Malbec, Monastrell, Tintilla",,Spain
Manchuela,39.367,-1.7,"Macabeo, Airén, Merseguera","Monastrell, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Manzanilla Sanlúcar de Barrameda,36.77808,-6.3515,Palomino,,,Spain
Méntrida,40.2344,-4.195,"Malvar, Albillo","Garnacha, Tempranillo, Cabernet Sauvignon, Graciano, Merlot, Petit Verdot, Syrah",,Spain
Mondéjar,40.32095,-3.10686,,"Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Monterrei,41.96333,-7.44917,"Godello, Treixadura, Loureiro, Doña Blanca","Mencía, Brancellao, Sousón, Tempranillo",,Spain
Montilla-Moriles,37.58627,-4.63805,"Pedro Ximénez, Airén",,,Spain
Montsant,41.29,0.808,"Garnacha Blanca, Macabeo, Chardonnay","Garnacha, Cariñena, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Navarra,42.816666,-1.65,"Garnacha Blanca, Chardonnay, Viura, Sauvignon Blanc, Moscatell de Grano Menudo","Garnacha, Tempranillo, Cabernet Sauvignon, Merlot, Graciano, Syrah",,Spain
Penedés,41.2893,1.749572,"Xarel·lo, Macabeo, Parellada, Chardonnay, Sauvignon Blanc","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah, Sumoll",,Spain
Pla de Bages,41.7206,1.8397,"Macabeo, Chardonnay, Sauvignon Blanc","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah, Sumoll",,Spain
Pla de Llevant,39.51398,3.02364,"Prensal Blanc, Macabeo, Chardonnay","Manto Negro, Callet, Cabernet Sauvignon, Merlot, Syrah",,Spain
Priorat,41.165,0.76,"Garnacha Blanca, Macabeo, Chardonnay","Garnacha, Cariñena, Cabernet Sauvignon, Merlot, Syrah",,Spain
Rías Baixas,42.3533841,-7.8778072,"Albariño, Loureiro, Treixadura, Godello, Torrontés",,,Spain
Ribeira Sacra,42.5195881,-7.5141181,"Godello, Treixadura, Loureiro, Albariño","Mencía, Brancellao, Sousón, Tempranillo",,Spain
Ribeiro,42.5,-8.1,"Treixadura, Godello, Loureiro, Albariño, Torrontés",,,Spain
Ribera del Duero,41.659112,-3.681587,Albillo,"Tempranillo, Cabernet Sauvignon, Merlot, Malbec, Garnacha",,Spain
Ribera del Guadiana,38.683,-6.4,"Pardina, Cayetana Blanca, Eva, Macabeo, Chardonnay, Chelva, Beba de Los Santos, Malvar, Parellada, Pedro Ximénez, Verdejo","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah, Monastrell",,Spain
Ribera del Júcar,39.367,-2.2,,"Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Rioja,42.4631,-2.4245,"Viura, Malvasia, Garnacha Blanca, Tempranillo Blanco, Chardonnay","Tempranillo, Garnacha, Graciano, Mazuelo",,Spain
Rueda,41.649693,-3.700845,"Verdejo, Sauvignon Blanc, Viura, Chardonnay, Viognier, Palomino, Garnacha, Merlot, Cabernet Sauvignon, Syrah",,,Spain
Sierras de Málaga,36.72016,-4.42034,"Moscatell de Alejandría, Pedro Ximénez, Chardonnay, Macabeo, Colombard, Sauvignon Blanc, Lairen, Doradilla, Gewürztraminer, Riesling, Verdejo, Viognier, Romé, Cabernet Sauvignon, Merlot, Syrah, Tempranillo, Garnacha, Cabernet Franc, Pinot Noir, Petit Verdot, Graciano, Malbec, Monastrell, Tintilla",,,Spain
Somontano,42.0471,-0.48149,"Macabeo, Garnacha Blanca, Chardonnay, Alcañón, Gewürztraminer, Riesling, Sauvignon Blanc, Cabernet Sauvignon, Garnacha, Merlot, Moristel, Parraleta, Pinot Noir, Syrah, Tempranillo",,,Spain
Tacoronte-Acentejo,28.466667,-16.333333,"Listán Blanco, Gual, Verdejo, Malvasia, Moscatell, Vijariego","Listán Negro, Negramoll",,Spain
Tarragona,41.11882,1.24556,"Macabeo, Parellada, Chardonnay","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah",,Spain
Terra Alta,40.983333,0.5,"Garnacha Blanca, Macabeo, Parellada","Garnacha, Cariñena, Syrah",,Spain
Tierra de León,42.600000,-5.566667,"Albarín Blanco, Verdejo","Prieto Picudo, Mencía, Tempranillo",,Spain
Tierra del Vino de Zamora,41.500000,-5.750000,"Verdejo, Viura","Tempranillo, Garnacha, Cabernet Sauvignon, Merlot, Syrah",,Spain
Toro,41.516667,-5.383333,"Verdejo, Malvasia Castellana, Albillo, Moscatell de Grano Menudo","Tinta de Toro, Garnacha",,Spain
Uclés,39.983333,-2.816667,"Macabeo, Airén, Merseguera","Tempranillo, Cabernet Sauvignon, Merlot, Syrah, Garnacha",,Spain
Utiel-Requena,39.400000,-1.166667,"Macabeo, Chardonnay, Sauvignon Blanc","Bobal, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Valdeorras,42.416667,-7.016667,"Godello, Doña Blanca, Palomino","Mencía, Garnacha, Tempranillo",,Spain
Valdepeñas,38.750000,-3.383333,"Airén, Macabeo, Chardonnay, Sauvignon Blanc, Verdejo","Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Valencia,39.466667,-0.383333,"Moscatell, Merseguera, Macabeo","Monastrell, Tempranillo, Bobal, Garnacha, Cabernet Sauvignon",,Spain
Güimar Valley,28.316667,-16.416667,"Listán Blanco, Gual, Malvasia Blanco","Listán Negro, Negramoll, Cabernet Sauvignon, Merlot, Pinot Noir, Ruby Cabernet, Syrah, Tempranillo",,Spain
Orotava Valley,28.383333,-16.516667,"Listán Blanco, Gual, Forastera Blanca, Malvasia","Listán Negro, Negramoll, Tintilla, Vijariego Negro",,Spain
Madrid,40.416667,-3.700000,"Malvar, Albillo","Garnacha, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Ycoden-Daute-Isora,28.250000,-16.750000,"Listán Blanco, Malvasia, Moscatell","Listán Negro, Negramoll",,Spain
Yecla,38.616667,-1.116667,"Macabeo, Airén, Merseguera","Monastrell, Tempranillo, Cabernet Sauvignon, Merlot, Syrah",,Spain
Champagne,49.05,4.03,"Chardonnay, Pinot Blanc","Pinot Noir, Pinot Meunier",,France
Alsace AOC,48.32,7.75,"Riesling, Gewürztraminer, Pinot Gris, Muscat",Pinot Noir,,France
Alsace Grand Cru AOC,48.32,7.75,"Riesling, Gewürztraminer, Pinot Gris, Muscat",Pinot Noir,,France
Crémant d'Alsace AOC,48.32,7.75,"Pinot Blanc, Chardonnay, Riesling",Pinot Noir,,France
Chablis,47.81,3.80,Chardonnay,,,France
Beaujolais,46.10,4.65,"Chardonnay, Aligote",Gamay Noir,,France
Brouilly,46.07,4.60,,Gamay Noir,,France
Saint-Amour,46.30,4.90,,Gamay Noir,,France
Fleurie,46.25,4.68,,Gamay Noir,,France
Hermitage,45.06,4.83,"Marsanne, Roussanne",Syrah,,France
Côtes du Rhône,44.25,4.75,"Garnacha Blanc, Marsanne, Roussanne, Viognier","Garnacha, Syrah, Mourvèdre",,France
Châteauneuf-du-Pape,44.05,4.83,"Garnacha Blanc, Roussanne, Clairette","Garnacha, Syrah, Mourvèdre",,France
Côtes de Provence,43.53,6.00,"Vermentino, Clairette","Garnacha, Syrah, Mourvèdre, Cinsault",,France
Vin de Corse,42.00,9.00,Vermentino,"Nielluccio, Sciacarello",,France
Minervois,43.28,2.72,"Garnacha Blanc, Marsanne, Roussanne","Garnacha, Syrah, Cariñena",,France
Limoux,43.06,2.22,"Mauzac, Chardonnay","Merlot, Syrah",,France
Cahors,44.45,1.44,,Malbec,,France
Jurançon,43.33,-0.35,"Petit Manseng, Gros Manseng",,,France
Pomerol,44.93,-0.22,,"Merlot, Cabernet Franc",,France
Saint-Émilion,44.89,-0.22,Sauvignon Blanc,"Merlot, Cabernet Franc",,France
Margaux,45.03,-0.22,Sauvignon Blanc,"Cabernet Sauvignon, Merlot",,France
Médoc,45.04,-0.24,,"Cabernet Sauvignon, Merlot",,France
Sauternes,44.53,-0.19,"Semillón, Sauvignon Blanc, Muscadelle",,,France
Pouilly-Fumé,47.29,2.52,Sauvignon Blanc,,,France
Sancerre,47.32,2.84,Sauvignon Blanc,Pinot Noir,,France
Vourvray,47.27,0.34,Chenin Blanc,,,France
Condrieu,45.47,4.80,Viognier,,,France
Château-Grillet,45.43,4.73,Viognier,,,France
Saint-Joseph,45.15,4.72,"Marsanne, Roussanne",Syrah,,France
Côte-Rôtie,45.24,4.82,Viognier,Syrah,,France
